type	name	current_hits	commit_count	bucket
cvar	vid_nopageflip	0	2	cat2_removed_stale
cvar	vid_resetonswitch	0	2	cat2_removed_stale
cvar	vid_stencilbits	0	3	cat2_removed_stale
cvar	vid_stretch_by_2	0	2	cat2_removed_stale
cvar	vid_wideaspect	0	8	cat2_removed_stale
cvar	vid_window_x	0	3	cat2_removed_stale
cvar	vid_window_y	0	3	cat2_removed_stale
cvar	vid_windowed_mode	0	3	cat2_removed_stale
macro	mp3_volume	1	9	cat1_extractor_miss_candidate
macro	mp3info	1	9	cat1_extractor_miss_candidate
